날짜,남컨물동량,남해2지선_가락IC-서부산TG_lag0,중앙선_대동IC-초정IC_lag10,부산신항선_진해IC-남문대교_lag0
2022-01-01,-1493.3599999999997,-3879.738953974895,5276.5309663865555,-1108.686567164179
2022-01-02,-4395.073619631902,-2654.7918487394954,4968.4902109704635,-60.134328358208904
2022-01-03,-3463.92,-6090.475840336135,5248.76525210084,-1111.3415841584156
2022-01-04,-2779.3207547169814,-5982.112008368201,4922.673924050632,-892.1386138613861
2022-01-05,-4608.242574257426,-5754.9712658227845,2319.5018907563026,-810.4433497536947
2022-01-06,495.8350515463917,-5919.293403361345,533.268193277311,-902.4306930693074
2022-01-07,1340.134831460674,-5631.797647058824,5097.35552742616,-802.1199999999999
2022-01-08,-5396.36,-3879.738953974895,5256.480966386554,-323.686567164179
2022-01-09,-2847.073619631902,-2654.7918487394954,5340.570210970465,-112.1343283582089
2022-01-10,6690.08,-6090.475840336135,5067.965252100839,-324.34158415841557
2022-01-11,375.67924528301864,-5982.112008368201,5096.083924050632,-555.1386138613861
2022-01-12,369.757425742574,-5754.9712658227845,2566.051890756303,-491.44334975369475
2022-01-13,-644.1649484536083,-5919.293403361345,582.3181932773109,-712.4306930693074
2022-01-14,-3285.865168539326,-5631.797647058824,5738.20552742616,-636.1199999999999
2022-01-15,285.6400000000003,-3879.738953974895,5764.140966386554,-379.686567164179
2022-01-16,486.92638036809785,-2654.7918487394954,5891.860210970464,-152.1343283582089
2022-01-17,-5041.92,-6090.475840336135,5542.92525210084,-334.34158415841557
2022-01-18,-4310.320754716981,-5982.112008368201,4837.653924050634,-563.1386138613861
2022-01-19,-4217.242574257426,-5754.9712658227845,2277.1618907563025,-477.44334975369475
2022-01-20,-1367.1649484536083,-5919.293403361345,456.408193277311,-623.4306930693074
2022-01-21,4201.134831460674,-5631.797647058824,-1770.2644725738396,-365.1199999999999
2022-01-22,-1033.3599999999997,-3879.738953974895,-2905.7590336134454,-63.686567164178996
2022-01-23,1216.9263803680979,-2654.7918487394954,-1900.1997890295356,30.865671641791096
2022-01-24,-1592.92,-6090.475840336135,3160.7152521008397,-35.34158415841557
2022-01-25,2363.6792452830186,-5982.112008368201,4539.563924050633,-63.13861386138615
2022-01-26,-4221.242574257426,-5754.9712658227845,2263.0418907563026,557.5566502463053
2022-01-27,1638.8350515463917,-5919.293403361345,622.228193277311,132.56930693069262
2022-01-28,-486.8651685393261,-5631.797647058824,5169.84552742616,-390.1199999999999
2022-01-29,-1804.3599999999997,-3879.738953974895,5446.710966386554,194.313432835821
2022-01-30,-229.07361963190215,-2654.7918487394954,5239.710210970465,162.8656716417911
2022-01-31,-4802.92,-6090.475840336135,5322.615252100839,-4377.341584158416
2022-02-01,-3342.3207547169814,-5982.112008368201,4836.643924050633,-5310.138613861386
2022-02-02,-4939.242574257426,-5754.9712658227845,2374.9918907563024,-4680.443349753695
2022-02-03,125.8350515463917,-5919.293403361345,659.718193277311,-1495.4306930693074
2022-02-04,-2597.865168539326,-5631.797647058824,5282.395527426161,-404.1199999999999
2022-02-05,114.64000000000033,-3879.738953974895,5228.080966386555,-146.686567164179
2022-02-06,-5637.073619631902,-2654.7918487394954,4785.000210970464,-188.1343283582089
2022-02-07,2122.08,-6090.475840336135,5088.785252100839,56.65841584158443
2022-02-08,-2078.3207547169814,-5982.112008368201,5004.433924050632,-162.13861386138615
2022-02-09,-3255.242574257426,-5754.9712658227845,2213.4918907563024,-525.4433497536947
2022-02-10,-3938.1649484536083,-5919.293403361345,578.018193277311,-320.4306930693074
2022-02-11,-790.8651685393261,-5631.797647058824,5398.4255274261595,-448.1199999999999
2022-02-12,1192.6400000000003,-3879.738953974895,5362.270966386555,7629.313432835821
2022-02-13,-1882.0736196319021,-2654.7918487394954,5375.420210970466,264.8656716417911
2022-02-14,-1546.92,-6090.475840336135,5720.3552521008405,292.65841584158443
2022-02-15,-2320.3207547169814,-5982.112008368201,5637.093924050632,-347.13861386138615
2022-02-16,3075.757425742574,-5754.9712658227845,3364.221890756303,-307.44334975369475
2022-02-17,-1210.1649484536083,-5919.293403361345,748.3381932773109,-293.4306930693074
2022-02-18,-200.86516853932608,-5631.797647058824,5565.70552742616,-10.11999999999989
2022-02-19,-1329.3599999999997,-3879.738953974895,392.19096638655446,-94.686567164179
2022-02-20,2535.926380368098,-2654.7918487394954,4699.390210970465,15.865671641791096
2022-02-21,-2738.92,-6090.475840336135,6115.865252100839,-39.34158415841557
2022-02-22,3348.6792452830186,-5982.112008368201,5739.973924050633,-326.13861386138615
2022-02-23,979.757425742574,-5754.9712658227845,2413.191890756302,-192.44334975369475
2022-02-24,-2191.1649484536083,-5919.293403361345,748.6281932773109,-123.43069306930738
2022-02-25,-3521.865168539326,-5631.797647058824,6116.62552742616,-93.11999999999989
2022-02-26,4614.64,-3879.738953974895,5900.770966386555,-62.686567164178996
2022-02-27,-3287.073619631902,-2654.7918487394954,336.20021097046447,78.8656716417911
2022-02-28,9.079999999999927,-6090.475840336135,5446.34525210084,-261.34158415841557
2022-03-01,-4069.3207547169814,-5982.112008368201,6417.123924050633,-4031.138613861386
2022-03-02,-2873.242574257426,-5754.9712658227845,3647.061890756303,-430.44334975369475
2022-03-03,3462.8350515463917,-5919.293403361345,641.0681932773109,-242.43069306930738
2022-03-04,-2043.865168539326,-5631.797647058824,5187.235527426161,11.88000000000011
2022-03-05,200.64000000000033,-3879.738953974895,5689.730966386554,2.313432835821004
2022-03-06,2607.926380368098,-2654.7918487394954,5590.410210970465,-57.134328358208904
2022-03-07,-889.9200000000001,-6090.475840336135,5634.51525210084,219.65841584158443
2022-03-08,-1022.3207547169814,-5982.112008368201,4385.123924050633,-136.13861386138615
2022-03-09,359.757425742574,-5754.9712658227845,1731.4518907563026,-4301.443349753695
2022-03-10,-498.1649484536083,-5919.293403361345,514.6381932773108,-185.43069306930738
2022-03-11,-3192.865168539326,-5631.797647058824,5497.46552742616,164.8800000000001
2022-03-12,4567.64,-3879.738953974895,5602.340966386555,-21.686567164178996
2022-03-13,-2756.073619631902,-2654.7918487394954,5479.250210970466,-220.1343283582089
2022-03-14,5131.08,-6090.475840336135,5538.93525210084,-274.34158415841557
2022-03-15,-5544.320754716981,-5982.112008368201,5749.303924050633,-381.13861386138615
2022-03-16,-1061.242574257426,-5754.9712658227845,1837.7318907563024,-342.44334975369475
2022-03-17,2466.8350515463917,-5919.293403361345,590.6381932773108,-798.4306930693074
2022-03-18,-3607.865168539326,-5631.797647058824,5380.825527426159,-1019.1199999999999
2022-03-19,-3063.3599999999997,-3879.738953974895,5519.950966386554,-634.686567164179
2022-03-20,1439.9263803680979,-2654.7918487394954,5218.0802109704655,-175.1343283582089
2022-03-21,5112.08,-6090.475840336135,5157.74525210084,-172.34158415841557
2022-03-22,-1093.3207547169814,-5982.112008368201,5043.083924050634,-300.13861386138615
2022-03-23,-1021.242574257426,-5754.9712658227845,1656.4918907563026,-350.44334975369475
2022-03-24,119.8350515463917,-5919.293403361345,570.018193277311,-551.4306930693074
2022-03-25,82.13483146067392,-5631.797647058824,5365.3855274261605,-643.1199999999999
2022-03-26,-1251.3599999999997,-3879.738953974895,5259.040966386554,-369.686567164179
2022-03-27,-1364.0736196319021,-2654.7918487394954,4988.850210970464,56.865671641791096
2022-03-28,-580.9200000000001,-6090.475840336135,4824.99525210084,-150.34158415841557
2022-03-29,57.679245283018645,-5982.112008368201,5132.953924050633,-445.13861386138615
2022-03-30,974.757425742574,-5754.9712658227845,2765.9518907563024,-636.4433497536947
2022-03-31,-4465.164948453608,-5919.293403361345,666.6581932773108,-968.4306930693074
2022-04-01,-1056.865168539326,-5631.797647058824,5200.985527426161,-743.1199999999999
2022-04-02,-633.3599999999997,-3879.738953974895,5590.870966386554,-386.686567164179
2022-04-03,5460.926380368098,-2654.7918487394954,5608.150210970465,-65.1343283582089
2022-04-04,-5156.92,-6090.475840336135,5449.305252100839,-345.34158415841557
2022-04-05,-1807.3207547169814,-5982.112008368201,5017.773924050633,-231.13861386138615
2022-04-06,3999.757425742574,-5754.9712658227845,2567.141890756302,-721.4433497536947
2022-04-07,-117.1649484536083,-5919.293403361345,912.218193277311,-673.4306930693074
2022-04-08,-2437.865168539326,-5631.797647058824,5723.3855274261605,-475.1199999999999
