날짜,서컨물동량,남해2지선_가락IC-서부산TG_lag1,중앙선_대동IC-초정IC_lag5,남해선(순천-부산)_김해JC-동김해IC_lag7,부산신항선_대청IC-진해IC_lag7,부산신항선_남진례IC-대청IC_lag7,부산신항선_진해IC-남문대교_lag7
2024-03-09,-1667.8947368421052,-1266.0218487394955,-3256.51474789916,685.1034745762709,1279.233830845771,267.0,127.313432835821
2024-03-10,-1089.857142857143,-1643.025840336135,-3133.726075949367,354.08386554621836,757.8457711442788,1.542288557214306,25.865671641791096
2024-03-11,-1332.787234042553,-1443.452008368201,-1364.3281092436976,2126.842616033755,2463.8267326732675,1504.7524752475256,1001.6584158415844
2024-03-12,-1339.8315789473684,-1042.5112658227845,-492.41180672268905,2054.1817721518983,2460.148514851484,1520.1485148514857,1055.8613861386139
2024-03-13,90.74736842105267,-1106.353403361345,-2838.3844725738395,2152.5828691983115,1883.4285714285725,864.5467980295562,872.5566502463053
2024-03-14,-762.1702127659576,-846.937647058824,-3121.7590336134454,2037.0930672268905,1497.0891089108918,796.8910891089108,538.5693069306926
2024-03-15,-1561.4516129032259,-1027.9689539748952,-3140.6997890295356,2052.404621848739,880.2999999999993,979.2700000000004,545.8800000000001
2024-03-16,-1672.8947368421052,-1439.1818487394955,-3256.51474789916,665.0334745762711,204.23383084577108,213.0,47.313432835821004
2024-03-17,-1011.8571428571429,-1382.565840336135,-3133.726075949367,167.35386554621846,-688.1542288557212,-368.4577114427857,-25.134328358208904
2024-03-18,-1257.787234042553,-1454.8920083682005,-1364.3281092436976,1754.2926160337547,946.8267326732675,1033.7524752475256,805.6584158415844
2024-03-19,-1308.8315789473684,-1029.0012658227843,-492.41180672268905,1258.341772151898,432.1485148514839,725.1485148514857,624.8613861386139
2024-03-20,726.7473684210527,-1373.2934033613446,-2838.3844725738395,1951.0028691983116,1368.4285714285725,1359.5467980295562,1054.5566502463053
2024-03-21,-959.1702127659576,-1117.5876470588237,-3121.7590336134454,486.0230672268908,-568.9108910891082,149.89108910891082,365.5693069306926
2024-03-22,-605.4516129032259,-1299.168953974895,-3140.6997890295356,1467.85462184874,174.29999999999927,497.27000000000044,194.8800000000001
2024-03-23,-1529.8947368421052,-1405.8118487394954,-3256.51474789916,909.1034745762709,356.2338308457711,520.0,-169.686567164179
2024-03-24,-1105.857142857143,-1940.195840336135,-3133.726075949367,376.58386554621836,278.84577114427884,294.5422885572143,-18.134328358208904
2024-03-25,-1235.787234042553,-1819.582008368201,-1364.3281092436976,1990.4826160337552,494.82673267326754,628.7524752475256,332.65841584158443
2024-03-26,-1259.8315789473684,-1293.1812658227846,-492.41180672268905,2003.3017721518981,502.1485148514839,689.1485148514857,283.86138613861385
2024-03-27,-1332.2526315789473,-3322.8934033613446,-2838.3844725738395,595.6128691983113,-1339.5714285714275,-577.4532019704438,172.55665024630525
2024-03-28,-888.1702127659576,-1035.897647058824,-3121.7590336134454,1329.3130672268908,426.0891089108918,487.8910891089108,682.5693069306926
2024-03-29,312.54838709677415,-1080.228953974895,-3140.6997890295356,2266.0746218487393,995.2999999999993,972.2700000000004,791.8800000000001
2024-03-30,-1672.8947368421052,-1425.2418487394955,-3256.51474789916,857.0934745762711,50.23383084577108,308.0,210.313432835821
2024-03-31,-323.8571428571429,8653.084159663864,-3133.726075949367,332.33386554621836,-242.15422885572116,36.542288557214306,-31.134328358208904
2024-04-01,-1139.787234042553,7986.2579916318,-1364.3281092436976,1883.142616033755,1326.8267326732675,1286.7524752475256,1268.6584158415844
2024-04-02,-1398.8315789473684,5116.2787341772155,-492.41180672268905,2182.331772151899,1417.148514851484,1408.1485148514857,895.8613861386139
2024-04-03,-1294.2526315789473,7441.266596638655,-2838.3844725738395,-1710.0671308016886,-7418.5714285714275,-5547.453201970444,-4256.443349753695
2024-04-04,-1264.1702127659576,5784.682352941176,-3121.7590336134454,1705.3030672268906,401.0891089108918,472.8910891089108,557.5693069306926
2024-04-05,-1061.4516129032259,3776.7410460251044,-3140.6997890295356,1813.5446218487396,243.29999999999927,491.27000000000044,399.8800000000001
2024-04-06,-659.8947368421052,3111.268151260505,-3256.51474789916,1008.923474576271,-109.76616915422892,248.0,265.313432835821
2024-04-09,-1497.8315789473684,4701.2787341772155,-492.41180672268905,1294.251772151898,983.1485148514839,948.1485148514857,1008.8613861386139
2024-04-10,-1400.2526315789473,7459.2965966386555,-2838.3844725738395,1928.9728691983119,1122.4285714285725,1002.5467980295562,1078.5566502463053
2024-04-11,-1296.1702127659576,6781.892352941177,-3121.7590336134454,1773.3430672268905,763.0891089108918,1073.8910891089108,865.5693069306926
2024-04-12,-1273.4516129032259,4352.881046025106,-3140.6997890295356,1626.7946218487396,625.2999999999993,913.2700000000004,861.8800000000001
2024-04-13,-1673.8947368421052,3989.7981512605047,-3256.51474789916,440.68347457627124,-848.7661691542289,-228.0,440.313432835821
2024-04-14,-1277.857142857143,5705.934159663865,-3133.726075949367,320.2038655462185,-899.1542288557212,-321.4577114427857,36.865671641791096
2024-04-15,-456.7872340425531,6577.777991631799,-1364.3281092436976,1786.592616033755,1490.8267326732675,1487.7524752475256,1488.6584158415844
2024-04-16,-1353.8315789473684,7948.038734177216,-492.41180672268905,2125.5217721518984,876.1485148514839,1309.1485148514857,1165.8613861386139
2024-04-17,-1007.2526315789473,7279.606596638655,-2838.3844725738395,1622.3428691983117,744.4285714285725,1056.5467980295562,1201.5566502463053
2024-04-18,-881.1702127659576,7189.402352941177,-3121.7590336134454,1901.1630672268911,816.0891089108918,1139.8910891089108,1098.5693069306926
2024-04-19,-969.4516129032259,4307.931046025105,-3140.6997890295356,1543.6146218487393,447.2999999999993,757.2700000000004,840.8800000000001
2024-04-20,-1189.8947368421052,2878.938151260504,-3256.51474789916,862.7634745762712,218.23383084577108,515.0,347.313432835821
2024-04-22,-1299.787234042553,7046.447991631799,-1364.3281092436976,1286.1226160337546,305.82673267326754,695.7524752475256,1423.6584158415844
2024-04-23,-1369.8315789473684,7622.508734177215,-492.41180672268905,1815.131772151898,1548.148514851484,1380.1485148514857,1373.8613861386139
2024-04-24,-1469.2526315789473,6350.966596638656,-2838.3844725738395,-2299.3771308016885,-7435.5714285714275,-5848.453201970444,-3924.4433497536947
2024-04-25,-1213.1702127659576,6047.252352941176,-3121.7590336134454,2100.5430672268913,222.0891089108918,478.8910891089108,598.5693069306926
2024-04-26,-1724.4516129032259,4711.481046025105,-3140.6997890295356,2454.7046218487394,832.2999999999993,1025.2700000000004,781.8800000000001
2024-04-27,-910.8947368421052,5897.898151260505,-3256.51474789916,911.3734745762708,1670.233830845771,1794.0,279.313432835821
2024-04-28,-881.8571428571429,6300.414159663865,-3133.726075949367,55.153865546218526,-710.1542288557212,-217.4577114427857,-149.1343283582089
2024-04-29,88.21276595744689,5641.197991631799,-1364.3281092436976,-2585.7473839662453,-6110.1732673267325,-4467.247524752474,-3719.3415841584156
2024-04-30,-1497.8315789473684,-3574.9512658227845,-492.41180672268905,1871.0817721518988,536.1485148514839,722.1485148514857,1033.8613861386139
2024-05-01,-1230.2526315789473,-1293.4234033613448,-2838.3844725738395,2265.4028691983112,1097.4285714285725,1137.5467980295562,1408.5566502463053
2024-05-02,-736.1702127659576,-668.9576470588236,-3121.7590336134454,2130.4230672268905,802.0891089108918,880.8910891089108,1184.5693069306926
2024-05-03,-686.4516129032259,-905.418953974895,-3140.6997890295356,2176.26462184874,265.2999999999993,605.2700000000004,692.8800000000001
2024-05-04,-96.8947368421052,-1825.3518487394954,-3256.51474789916,790.3334745762709,-595.7661691542289,-278.0,317.313432835821
2024-05-05,-1762.857142857143,-3691.2658403361347,-3133.726075949367,153.27386554621842,-1056.1542288557212,-410.4577114427857,-40.134328358208904
2024-05-06,-1343.787234042553,-1896.642008368201,-1364.3281092436976,2225.3626160337553,1142.8267326732675,1189.7524752475256,1258.6584158415844
2024-05-07,-1149.8315789473684,-1253.2912658227842,-492.41180672268905,2412.7417721518987,1791.148514851484,1824.1485148514857,1154.8613861386139
2024-05-08,-1333.2526315789473,-1567.263403361345,-2838.3844725738395,-1737.3771308016885,-6499.5714285714275,-5103.453201970444,-3786.4433497536947
2024-05-09,-1382.1702127659576,-1015.3776470588236,-3121.7590336134454,2384.2230672268906,926.0891089108918,1292.8910891089108,1232.5693069306926
2024-05-10,-1563.4516129032259,-1213.8089539748953,-3140.6997890295356,2544.694621848739,599.2999999999993,1037.2700000000004,1100.88
2024-05-11,-1193.8947368421052,-1445.4918487394955,-3256.51474789916,1136.6434745762713,48.23383084577108,257.0,475.313432835821
2024-05-12,153.1428571428571,-1745.8058403361347,-3133.726075949367,379.0338655462184,-448.15422885572116,-138.4577114427857,-30.134328358208904
2024-05-13,-347.7872340425531,-1282.2320083682007,-1364.3281092436976,2390.6526160337553,687.8267326732675,917.7524752475256,862.6584158415844
2024-05-14,-417.83157894736837,-3010.4812658227847,-492.41180672268905,1961.8117721518984,405.1485148514839,816.1485148514857,774.8613861386139
2024-05-15,-1426.2526315789473,-1218.143403361345,-2838.3844725738395,2149.522869198311,577.4285714285725,754.5467980295562,806.5566502463053
2024-05-16,-673.1702127659576,-1178.1776470588238,-3121.7590336134454,2220.523067226891,411.0891089108918,763.8910891089108,736.5693069306926
2024-05-17,-711.4516129032259,-1000.0989539748953,-3140.6997890295356,1883.10462184874,718.2999999999993,1026.2700000000004,907.8800000000001
2024-05-18,-1673.8947368421052,-1348.0018487394955,-3256.51474789916,757.423474576271,-387.7661691542289,-4.0,200.313432835821
2024-05-19,-898.8571428571429,-1578.2258403361348,-3133.726075949367,188.5638655462185,-932.1542288557212,-363.4577114427857,-72.1343283582089
2024-05-20,-1335.787234042553,-1611.6920083682007,-1364.3281092436976,2040.1526160337553,562.8267326732675,698.7524752475256,1113.6584158415844
2024-05-21,608.1684210526316,-1637.2212658227845,-492.41180672268905,1863.8617721518985,93.14851485148392,458.14851485148574,745.8613861386139
2024-05-22,-1427.2526315789473,-1683.5234033613442,-2838.3844725738395,1808.6528691983112,22.428571428572468,435.54679802955616,552.5566502463053
2024-05-23,1997.8297872340424,-1206.847647058824,-3121.7590336134454,1315.3930672268907,9.08910891089181,448.8910891089108,526.5693069306926
2024-05-24,-1449.4516129032259,-1390.898953974895,-3140.6997890295356,1820.4546218487394,-487.7000000000007,28.270000000000437,412.8800000000001
2024-05-25,-981.8947368421052,-1499.4418487394955,-3256.51474789916,675.8634745762711,-575.7661691542289,-228.0,155.313432835821
2024-05-26,-1762.857142857143,-2104.9558403361348,-3133.726075949367,408.96386554621847,-713.1542288557212,-294.4577114427857,-2.1343283582089043
2024-05-27,-1241.787234042553,-1645.0720083682008,-1364.3281092436976,2867.632616033755,294.82673267326754,637.7524752475256,854.6584158415844
2024-05-28,-904.8315789473684,-1432.3312658227842,-492.41180672268905,3732.471772151898,701.1485148514839,973.1485148514857,1255.8613861386139
2024-05-29,-1470.2526315789473,-1881.6734033613448,-2838.3844725738395,3662.0028691983107,1686.4285714285725,1700.5467980295562,1392.5566502463053
2024-05-30,2276.8297872340427,-1458.227647058824,-3121.7590336134454,-1292.096932773109,-5718.910891089108,-4482.108910891089,-3659.4306930693074
2024-05-31,-150.45161290322585,1516.1510460251052,-3140.6997890295356,2821.0946218487397,-128.70000000000073,297.27000000000044,627.8800000000001
2024-06-01,329.1052631578948,-2544.3818487394956,-3256.51474789916,911.7034745762712,-1959.766169154229,-797.0,-244.686567164179
2024-06-02,2033.142857142857,-1582.025840336135,-3133.726075949367,480.36386554621856,-438.15422885572116,-6.457711442785694,-87.1343283582089
2024-06-03,-835.7872340425531,7375.1679916318,-1364.3281092436976,3535.022616033755,581.8267326732675,728.7524752475256,1000.6584158415844
2024-06-04,-677.8315789473684,4017.0287341772155,-492.41180672268905,3723.011772151899,750.1485148514839,854.1485148514857,953.8613861386139
2024-06-05,683.7473684210527,-2939.863403361345,-2838.3844725738395,3605.802869198312,204.42857142857247,539.5467980295562,479.55665024630525
2024-06-06,-425.17021276595756,-1784.0676470588237,-3121.7590336134454,3454.413067226891,-9.91089108910819,483.8910891089108,457.5693069306926
2024-06-07,-1173.4516129032259,-1668.298953974895,-3140.6997890295356,3643.7446218487394,352.2999999999993,888.2700000000004,918.8800000000001
2024-06-08,213.1052631578948,969.5581512605045,-3256.51474789916,1549.963474576271,-641.7661691542289,-219.0,-259.686567164179
2024-06-09,-1534.857142857143,-2420.6158403361346,-3133.726075949367,562.7638655462184,-254.15422885572116,-61.457711442785694,31.865671641791096
2024-06-10,-437.7872340425531,-1542.0320083682009,-1364.3281092436976,3496.852616033755,506.82673267326754,775.7524752475256,796.6584158415844
2024-06-11,2860.168421052632,-1453.741265822785,-492.41180672268905,3942.1517721518985,425.1485148514839,855.1485148514857,746.8613861386139
2024-06-12,-397.25263157894733,-2000.9934033613445,-2838.3844725738395,3700.0328691983113,467.42857142857247,991.5467980295562,726.5566502463053
2024-06-13,478.82978723404244,-1679.8376470588237,-3121.7590336134454,1798.1330672268905,218.0891089108918,732.8910891089108,673.5693069306926
2024-06-14,-1163.4516129032259,-873.7189539748952,-3140.6997890295356,312.5146218487398,-180.70000000000073,683.2700000000004,780.8800000000001
2024-06-15,-832.8947368421052,284.94815126050435,-3256.51474789916,-98.18652542372911,-1300.766169154229,-518.0,238.313432835821
2024-06-16,-1645.857142857143,4087.2441596638646,-3133.726075949367,144.3038655462185,-664.1542288557212,-235.4577114427857,-54.134328358208904
2024-06-17,4671.212765957447,6889.037991631799,-1364.3281092436976,1571.722616033755,854.8267326732675,1197.7524752475256,1034.6584158415844
2024-06-18,-1447.8315789473684,6451.138734177216,-492.41180672268905,1810.041772151898,683.1485148514839,1122.1485148514857,805.8613861386139
2024-06-19,-489.25263157894733,5824.726596638656,-2838.3844725738395,1928.9428691983112,850.4285714285725,1317.5467980295562,961.5566502463053
2024-06-20,-401.17021276595756,6372.672352941176,-3121.7590336134454,862.4830672268909,-148.9108910891082,584.8910891089108,606.5693069306926
2024-06-21,-1448.4516129032259,2460.591046025105,-3140.6997890295356,1402.5546218487398,-356.7000000000007,326.27000000000044,380.8800000000001
2024-06-22,-1672.8947368421052,3378.718151260505,-3256.51474789916,211.73347457627096,-1398.766169154229,-474.0,123.313432835821
2024-06-23,-1156.857142857143,6822.864159663865,-3133.726075949367,173.0538655462185,-1822.1542288557212,-1002.4577114427857,-169.1343283582089
2024-06-24,-1284.787234042553,6305.807991631799,-1364.3281092436976,1041.342616033755,-360.17326732673246,-13.247524752474419,480.65841584158443
2024-06-25,-1155.8315789473684,7737.048734177216,-492.41180672268905,-560.6282278481012,-1604.851485148516,-717.8514851485143,184.86138613861385
2024-06-26,510.74736842105267,6119.026596638655,-2838.3844725738395,941.1328691983117,-717.5714285714275,38.54679802955616,246.55665024630525
2024-06-27,535.8297872340424,6547.032352941176,-3121.7590336134454,1426.0830672268912,-290.9108910891082,272.8910891089108,247.56930693069262
2024-06-28,-1328.4516129032259,3452.111046025105,-3140.6997890295356,1287.9146218487394,-690.7000000000007,-56.72999999999956,235.8800000000001
2024-06-30,374.1428571428571,-2617.5358403361347,-3133.726075949367,95.84386554621847,-803.1542288557212,-295.4577114427857,-113.1343283582089
2024-07-01,822.2127659574469,-3270.572008368201,-1364.3281092436976,1174.7726160337552,25.826732673267543,483.7524752475256,683.6584158415844
2024-07-02,-842.8315789473684,-2126.0412658227847,-492.41180672268905,1043.8017721518981,-877.8514851485161,-92.85148514851426,220.86138613861385
2024-07-03,-1102.2526315789473,-1908.3734033613446,-2838.3844725738395,552.5328691983113,-1127.5714285714275,-14.453201970443843,89.55665024630525
