날짜,남컨물동량,남해2지선_가락IC-서부산TG_lag0,중앙선_대동IC-초정IC_lag10,부산신항선_진해IC-남문대교_lag0
2022-12-30,1741.134831460674,-5631.797647058824,4204.225527426161,-327.29009999999994
2023-01-01,-1431.0736196319021,-2654.7918487394954,4145.650210970465,-7.977810945273639
2023-01-03,3774.6792452830186,-5982.112008368201,3105.5439240506334,-106.26366336633669
2023-01-04,-474.242574257426,-5754.9712658227845,1398.8818907563025,-115.25275862068975
2023-01-07,-1551.3599999999997,-3879.738953974895,4747.720966386554,-30.69114427860694
2023-01-08,-1098.0736196319021,-2654.7918487394954,4760.640210970465,-4.397810945273633
2023-01-09,-2628.92,-6090.475840336135,4620.135252100839,-12.6217821782177
2023-01-10,-2644.3207547169814,-5982.112008368201,3446.6339240506327,0.6163366336633089
2023-01-11,-1621.242574257426,-5754.9712658227845,245.00189075630237,41.847241379310276
2023-01-12,3418.8350515463917,-5919.293403361345,-276.04180672268905,-25.22504950495056
2023-01-14,-4921.36,-3879.738953974895,-1683.6590336134454,-33.051144278606955
2023-01-15,-983.0736196319021,-2654.7918487394954,2190.7202109704644,-4.457810945273636
2023-01-16,4612.08,-6090.475840336135,3824.9652521008397,57.39821782178228
2023-01-18,1274.757425742574,-5754.9712658227845,1833.0318907563026,-7.432758620689697
2023-01-20,-1706.865168539326,-5631.797647058824,4184.71552742616,-214.9700999999999
2023-01-21,-2911.3599999999997,-3879.738953974895,4429.100966386554,-220.72114427860694
2023-01-22,-4697.073619631902,-2654.7918487394954,3975.5902109704643,-48.33781094527364
2023-01-23,-63.92000000000007,-6090.475840336135,3996.73525210084,-836.4117821782177
2023-01-25,3094.757425742574,-5754.9712658227845,1580.1218907563023,-330.35275862068977
2023-01-26,-1186.1649484536083,-5919.293403361345,502.808193277311,-147.6550495049505
2023-01-28,-4048.3599999999997,-3879.738953974895,4431.500966386555,-49.16114427860694
2023-01-30,-890.9200000000001,-6090.475840336135,4181.455252100841,30.218217821782332
2023-02-01,1912.757425742574,-5754.9712658227845,1661.8018907563026,-72.63275862068974
2023-02-02,6972.835051546392,-5919.293403361345,555.9381932773108,-33.39504950495052
2023-02-04,-6380.36,-3879.738953974895,4537.760966386555,-57.501144278606944
2023-02-05,-1835.0736196319021,-2654.7918487394954,4467.8702109704645,-2.267810945273638
2023-02-06,-826.9200000000001,-6090.475840336135,4412.42525210084,-10.38178217821769
2023-02-07,5042.679245283019,-5982.112008368201,3734.683924050633,48.70633663366334
2023-02-08,-1190.242574257426,-5754.9712658227845,1436.1018907563023,-50.53275862068972
2023-02-09,-1791.1649484536083,-5919.293403361345,526.268193277311,-52.04504950495061
2023-02-11,-1012.3599999999997,-3879.738953974895,4113.510966386555,-64.14114427860693
2023-02-12,-2183.073619631902,-2654.7918487394954,4018.7602109704644,-8.977810945273639
2023-02-13,1557.08,-6090.475840336135,4123.455252100841,-32.36178217821771
2023-02-14,4085.6792452830186,-5982.112008368201,4123.893924050633,114.59633663366321
2023-02-15,-2441.242574257426,-5754.9712658227845,1869.0518907563026,108.60724137931027
2023-02-16,4127.835051546392,-5919.293403361345,693.5481932773109,-6.13504950495053
2023-02-18,5692.64,-3879.738953974895,4079.6209663865548,-73.83114427860693
2023-02-19,-2692.073619631902,-2654.7918487394954,39.430210970464486,-54.91781094527364
2023-02-20,2998.08,-6090.475840336135,3633.2152521008397,-172.03178217821767
2023-02-21,-2202.3207547169814,-5982.112008368201,4434.343924050632,72.70633663366334
2023-02-22,4747.757425742574,-5754.9712658227845,1754.9418907563024,90.40724137931022
2023-02-23,1761.8350515463917,-5919.293403361345,578.258193277311,46.14495049504944
2023-02-24,-2958.865168539326,-5631.797647058824,3873.925527426161,-275.9700999999999
2023-02-25,747.6400000000003,-3879.738953974895,3838.7709663865544,-16.201144278606932
2023-02-26,-1777.0736196319021,-2654.7918487394954,3720.5502109704644,-41.51781094527364
2023-02-27,2028.08,-6090.475840336135,3989.5052521008406,-113.01178217821769
2023-03-01,8912.757425742573,-5754.9712658227845,1536.4518907563026,-649.1727586206897
2023-03-02,-1300.1649484536083,-5919.293403361345,501.57819327731096,48.314950495049516
2023-03-03,6231.134831460674,-5631.797647058824,3745.675527426161,59.29990000000009
2023-03-04,-2740.3599999999997,-3879.738953974895,4059.0309663865546,-39.32114427860694
2023-03-05,83.92638036809785,-2654.7918487394954,3973.000210970464,0.9921890547263672
2023-03-06,5992.08,-6090.475840336135,3957.31525210084,38.29821782178226
2023-03-07,176.67924528301864,-5982.112008368201,3935.2139240506326,33.41633663366326
2023-03-08,377.757425742574,-5754.9712658227845,1642.0618907563023,43.087241379310285
2023-03-09,-1264.1649484536083,-5919.293403361345,539.7081932773108,-296.7850495049506
2023-03-11,-600.3599999999997,-3879.738953974895,4248.020966386554,-7.011144278606935
2023-03-12,676.9263803680979,-2654.7918487394954,4332.540210970465,-9.137810945273635
2023-03-13,-42.92000000000007,-6090.475840336135,3284.55525210084,90.51821782178229
2023-03-14,1795.6792452830186,-5982.112008368201,3999.2539240506326,144.96633663366333
2023-03-15,-782.242574257426,-5754.9712658227845,1920.3418907563025,102.60724137931027
2023-03-16,1521.8350515463917,-5919.293403361345,727.4081932773108,142.4449504950494
2023-03-17,318.1348314606739,-5631.797647058824,4148.71552742616,160.50990000000013
2023-03-18,1796.6400000000003,-3879.738953974895,4181.730966386554,23.11885572139306
2023-03-19,4957.926380368098,-2654.7918487394954,3892.160210970464,1.1621890547263618
2023-03-20,-5563.92,-6090.475840336135,4035.01525210084,103.98821782178231
2023-03-21,1408.6792452830186,-5982.112008368201,3772.353924050633,112.8563366336632
2023-03-22,978.757425742574,-5754.9712658227845,1404.6118907563025,144.25724137931036
2023-03-23,4706.835051546392,-5919.293403361345,605.018193277311,-40.88504950495053
2023-03-25,1973.6400000000003,-3879.738953974895,4156.390966386554,-36.87114427860695
2023-03-26,-2134.073619631902,-2654.7918487394954,2810.000210970464,8.292189054726364
2023-03-27,2299.08,-6090.475840336135,3570.22525210084,228.21821782178233
2023-03-28,3017.6792452830186,-5982.112008368201,3945.943924050633,116.6163366336632
2023-03-29,3992.757425742574,-5754.9712658227845,1667.9218907563024,108.19724137931019
2023-03-30,3627.8350515463917,-5919.293403361345,638.248193277311,4.824950495049393
2023-04-01,2307.6400000000003,-3879.738953974895,4186.390966386554,-69.77114427860695
2023-04-02,617.9263803680979,-2654.7918487394954,4011.9402109704647,-11.327810945273633
2023-04-03,-1641.92,-6090.475840336135,3908.7552521008406,37.678217821782255
2023-04-05,-2480.242574257426,-5754.9712658227845,1423.7118907563024,-182.82275862068968
2023-04-06,1596.8350515463917,-5919.293403361345,604.9181932773108,-75.24504950495054
2023-04-08,330.6400000000003,-3879.738953974895,4338.540966386555,-84.34114427860695
2023-04-09,-1608.0736196319021,-2654.7918487394954,4077.8802109704643,4.212189054726366
2023-04-10,1631.08,-6090.475840336135,4105.045252100841,80.13821782178229
2023-04-11,-907.3207547169814,-5982.112008368201,4025.4939240506333,-4.153663366336787
2023-04-12,2615.757425742574,-5754.9712658227845,1599.2218907563026,24.317241379310303
2023-04-13,-697.1649484536083,-5919.293403361345,650.3781932773109,50.71495049504938
2023-04-15,-632.3599999999997,-3879.738953974895,3575.1209663865548,-89.21114427860695
2023-04-16,2631.926380368098,-2654.7918487394954,4101.680210970464,-25.517810945273638
2023-04-17,869.0799999999999,-6090.475840336135,4312.3552521008405,115.7582178217823
2023-04-19,-462.242574257426,-5754.9712658227845,1546.0718907563025,117.95724137931018
2023-04-20,1561.8350515463917,-5919.293403361345,474.668193277311,76.77495049504932
2023-04-22,933.6400000000003,-3879.738953974895,3466.4009663865545,-55.37114427860695
2023-04-23,655.9263803680979,-2654.7918487394954,3846.9602109704642,-17.357810945273634
2023-04-24,261.0799999999999,-6090.475840336135,4301.26525210084,124.15821782178227
2023-04-25,2527.6792452830186,-5982.112008368201,-785.9460759493668,30.456336633663227
2023-04-26,837.757425742574,-5754.9712658227845,483.8718907563025,173.39724137931023
2023-04-27,966.8350515463917,-5919.293403361345,449.06819327731097,131.3349504950495
2023-04-28,-2043.865168539326,-5631.797647058824,3765.18552742616,70.49990000000014
2023-04-29,2978.6400000000003,-3879.738953974895,4167.870966386555,-53.291144278606936
2023-04-30,3812.926380368098,-2654.7918487394954,3367.2302109704647,-14.267810945273638
2023-05-01,222.07999999999993,-6090.475840336135,4076.94525210084,-652.1917821782177
2023-05-02,1856.6792452830186,-5982.112008368201,3739.693924050633,-6.363663366336709
2023-05-03,-1959.242574257426,-5754.9712658227845,1632.4218907563024,168.3072413793103
2023-05-04,1674.8350515463917,-5919.293403361345,635.0881932773109,-25.29504950495061
2023-05-06,-624.3599999999997,-3879.738953974895,3719.4509663865547,-156.46114427860692
2023-05-07,-705.0736196319021,-2654.7918487394954,3901.2302109704647,-15.137810945273635
2023-05-09,5397.679245283019,-5982.112008368201,3909.273924050633,10.456336633663227
2023-05-10,-2533.242574257426,-5754.9712658227845,1756.1218907563023,36.267241379310235
2023-05-11,3926.8350515463917,-5919.293403361345,845.9181932773108,61.544950495049534
2023-05-13,2515.6400000000003,-3879.738953974895,4191.460966386555,-86.97114427860694
2023-05-14,104.92638036809785,-2654.7918487394954,4151.150210970465,-21.867810945273632
2023-05-15,754.0799999999999,-6090.475840336135,4261.035252100841,147.82821782178223
2023-05-16,3443.6792452830186,-5982.112008368201,4152.6039240506325,90.53633663366327
2023-05-17,832.757425742574,-5754.9712658227845,1432.0618907563023,54.64724137931023
2023-05-18,-3670.1649484536083,-5919.293403361345,446.3781932773109,-30.79504950495061
2023-05-20,-75.35999999999967,-3879.738953974895,3463.9409663865545,-69.20114427860693
2023-05-21,1261.9263803680979,-2654.7918487394954,3969.3102109704646,-25.427810945273635
2023-05-22,1166.08,-6090.475840336135,3946.5452521008406,122.46821782178233
2023-05-23,-1137.3207547169814,-5982.112008368201,4127.953924050633,53.376336633663186
2023-05-24,3257.757425742574,-5754.9712658227845,1839.6318907563025,169.03724137931033
2023-05-25,7523.835051546392,-814.9934033613445,649.0981932773109,153.73495049504936
2023-05-27,150.64000000000033,4829.291046025106,153.84096638655456,-102.51114427860693
2023-05-28,26.926380368097853,120.78815126050449,3872.0202109704646,-22.557810945273637
2023-05-30,-983.3207547169814,5786.137991631799,4200.203924050633,10.036336633663268
2023-05-31,3727.757425742574,7164.818734177216,1945.0318907563026,93.9272413793102
2023-06-01,-2075.1649484536083,5602.946596638655,744.2981932773109,-743.5250495049506
2023-06-03,-1665.3599999999997,4774.061046025105,4244.770966386554,-47.551144278606955
2023-06-04,-884.0736196319021,2931.848151260505,3945.5202109704646,-19.637810945273635
2023-06-05,-3585.92,6715.924159663865,4037.4552521008404,16.10821782178232
2023-06-06,3740.6792452830186,5370.717991631799,3717.943924050633,-733.1836633663368
2023-06-07,3974.757425742574,-5754.9712658227845,1675.3018907563026,-30.652758620689724
2023-06-08,-3428.1649484536083,-5919.293403361345,646.8781932773109,152.87495049504946
2023-06-10,341.6400000000003,-3879.738953974895,4449.380966386555,-50.38114427860694
2023-06-11,1693.9263803680979,-2654.7918487394954,3364.4702109704644,-20.65781094527364
2023-06-12,-1530.92,-6090.475840336135,4247.9752521008395,67.46821782178233
2023-06-14,-3887.242574257426,-5754.9712658227845,1702.9218907563024,82.9372413793102
2023-06-15,4091.8350515463917,2970.2565966386546,736.498193277311,-17.12504950495054
2023-06-17,3252.6400000000003,5162.511046025105,3964.6909663865545,-38.71114427860695
2023-06-18,1573.9263803680979,2967.7381512605043,3670.570210970465,-17.957810945273636
2023-06-19,-1803.92,3116.9541596638655,3546.56525210084,190.04821782178226
2023-06-21,-308.242574257426,-5754.9712658227845,-1364.3281092436976,-20.832758620689674
2023-06-22,-1663.1649484536083,-5919.293403361345,-492.41180672268905,206.2049504950494
2023-06-24,3335.6400000000003,-3879.738953974895,-3121.7590336134454,-1.6111442786069574
2023-06-25,-536.0736196319021,-2654.7918487394954,-3140.6997890295356,-11.697810945273638
2023-06-28,3836.757425742574,-5754.9712658227845,-1364.3281092436976,92.87724137931025
2023-06-29,3834.8350515463917,-5919.293403361345,-492.41180672268905,-49.71504950495057
2023-07-01,1373.6400000000003,-3879.738953974895,-3121.7590336134454,-62.031144278606945
2023-07-02,-3089.073619631902,-2654.7918487394954,-3140.6997890295356,-7.277810945273636
2023-07-03,605.0799999999999,-6090.475840336135,-3256.51474789916,39.90821782178227
2023-07-04,1807.6792452830186,-5982.112008368201,-3133.726075949367,58.55633663366325
2023-07-05,-2059.242574257426,-5754.9712658227845,-1364.3281092436976,-47.34275862068978
2023-07-06,-639.1649484536083,-4978.623403361345,-492.41180672268905,48.414950495049425
2023-07-07,-1175.865168539326,-1689.2076470588236,-2838.3844725738395,-104.78009999999995
2023-07-08,106.64000000000033,-2060.168953974895,-3121.7590336134454,-97.61114427860693
2023-07-09,-1675.0736196319021,-1690.7318487394955,-3140.6997890295356,-28.22781094527364
2023-07-12,1392.757425742574,-2085.6312658227844,-1364.3281092436976,-95.76275862068974
2023-07-13,264.8350515463917,-1977.7834033613444,-492.41180672268905,-49.1850495049506
2023-07-15,-1657.3599999999997,-1542.278953974895,-3121.7590336134454,-48.811144278606946
2023-07-16,3373.926380368098,-1674.9318487394953,-3140.6997890295356,-17.747810945273635
2023-07-19,1194.757425742574,-1549.9812658227847,-1364.3281092436976,194.04724137931032
2023-07-20,2893.8350515463917,-1476.3334033613446,-492.41180672268905,323.2149504950494
2023-07-22,589.6400000000003,-1338.9489539748952,-3121.7590336134454,-1.401144278606921
2023-07-23,-1602.0736196319021,-1481.1518487394953,-3140.6997890295356,-22.65781094527364
