날짜,서컨물동량,남해2지선_가락IC-서부산TG_lag1,중앙선_대동IC-초정IC_lag5,남해선(순천-부산)_김해JC-동김해IC_lag7,부산신항선_대청IC-진해IC_lag7,부산신항선_남진례IC-대청IC_lag7,부산신항선_진해IC-남문대교_lag7
2024-03-09,-1667.8947368421052,-1266.0218487394955,-3256.51474789916,685.1034745762709,378.56532338308466,161.09761194029852,48.81885572139305
2024-03-10,-1089.857142857143,-1643.025840336135,-3133.726075949367,354.08386554621836,32.57582089552233,-7.238208955223854,-1.4778109452736388
2024-03-11,-1332.787234042553,-1443.452008368201,-1364.3281092436976,2126.842616033755,505.39663366336663,311.1708910891093,184.79821782178226
2024-03-12,-1339.8315789473684,-1042.5112658227845,-492.41180672268905,2054.1817721518983,589.4166831683169,372.95039603960413,232.42633663366337
2024-03-13,90.74736842105267,-1106.353403361345,-2838.3844725738395,2152.5828691983115,204.93019704433482,72.1293596059113,98.88724137931024
2024-03-14,-762.1702127659576,-846.937647058824,-3121.7590336134454,2037.0930672268905,289.6249009900994,159.33103960396056,100.17495049504942
2024-03-15,-1561.4516129032259,-1027.9689539748952,-3140.6997890295356,2052.404621848739,73.4389500000002,107.55140000000029,58.18990000000019
2024-03-16,-1672.8947368421052,-1439.1818487394955,-3256.51474789916,665.0334745762711,-84.02467661691526,-44.80238805970157,-23.511144278606935
2024-03-17,-1011.8571428571429,-1382.565840336135,-3133.726075949367,167.35386554621846,-27.344179104477632,-14.948208955223834,-1.6378109452736354
2024-03-18,-1257.787234042553,-1454.8920083682005,-1364.3281092436976,1754.2926160337547,154.37663366336665,161.23089108910904,115.02821782178228
2024-03-19,-1308.8315789473684,-1029.0012658227843,-492.41180672268905,1258.341772151898,16.916683168316922,78.33039603960401,74.22633663366332
2024-03-20,726.7473684210527,-1373.2934033613446,-2838.3844725738395,1951.0028691983116,275.74019704433476,257.94935960591124,185.5672413793103
2024-03-21,-959.1702127659576,-1117.5876470588237,-3121.7590336134454,486.0230672268908,-221.81509900990068,-68.36896039603948,6.494950495049466
2024-03-22,-605.4516129032259,-1299.168953974895,-3140.6997890295356,1467.85462184874,34.44894999999997,83.16139999999996,27.469900000000052
2024-03-23,-1529.8947368421052,-1405.8118487394954,-3256.51474789916,909.1034745762709,60.80532338308467,71.9876119402984,-25.231144278606962
2024-03-24,-1105.857142857143,-1940.195840336135,-3133.726075949367,376.58386554621836,5.765820895522381,9.33179104477614,-3.9378109452736325
2024-03-25,-1235.787234042553,-1819.582008368201,-1364.3281092436976,1990.4826160337552,245.6366336633664,211.38089108910913,96.96821782178233
2024-03-26,-1259.8315789473684,-1293.1812658227846,-492.41180672268905,2003.3017721518981,249.48668316831663,228.89039603960373,98.3663366336632
2024-03-27,-1332.2526315789473,-3322.8934033613446,-2838.3844725738395,595.6128691983113,-165.32980295566495,-57.610640394088705,42.4472413793103
2024-03-28,-888.1702127659576,-1035.897647058824,-3121.7590336134454,1329.3130672268908,405.48490099009905,314.0210396039606,238.39495049504944
2024-03-29,312.54838709677415,-1080.228953974895,-3140.6997890295356,2266.0746218487393,326.62895000000026,272.4814000000001,181.96990000000017
2024-03-30,-1672.8947368421052,-1425.2418487394955,-3256.51474789916,857.0934745762711,286.8953233830846,216.19761194029843,76.34885572139308
2024-03-31,-323.8571428571429,8653.084159663864,-3133.726075949367,332.33386554621836,24.865820895522404,25.17179104477617,1.1021890547263666
2024-04-01,-1139.787234042553,7986.2579916318,-1364.3281092436976,1883.142616033755,439.87663366336665,360.260891089109,274.4082178217824
2024-04-02,-1398.8315789473684,5116.2787341772155,-492.41180672268905,2182.331772151899,437.62668316831696,374.5603960396038,215.66633663366315
2024-04-03,-1294.2526315789473,7441.266596638655,-2838.3844725738395,-1710.0671308016886,-1382.789802955665,-1016.1406403940888,-731.1427586206897
2024-04-04,-1264.1702127659576,5784.682352941176,-3121.7590336134454,1705.3030672268906,196.7049009900993,168.43103960396047,137.76495049504933
2024-04-05,-1061.4516129032259,3776.7410460251044,-3140.6997890295356,1813.5446218487396,12.988949999999932,58.921400000000176,49.43990000000019
2024-04-06,-659.8947368421052,3111.268151260505,-3256.51474789916,1008.923474576271,277.83532338308464,216.59761194029852,87.25885572139305
2024-04-09,-1497.8315789473684,4701.2787341772155,-492.41180672268905,1294.251772151898,526.356683168317,409.60039603960377,299.6163366336632
2024-04-10,-1400.2526315789473,7459.2965966386555,-2838.3844725738395,1928.9728691983119,446.05019704433516,346.29935960591115,271.46724137931017
2024-04-11,-1296.1702127659576,6781.892352941177,-3121.7590336134454,1773.3430672268905,289.03490099009923,293.60103960396054,202.54495049504953
2024-04-12,-1273.4516129032259,4352.881046025106,-3140.6997890295356,1626.7946218487396,160.76895000000013,188.94140000000016,156.09990000000005
2024-04-13,-1673.8947368421052,3989.7981512605047,-3256.51474789916,440.68347457627124,283.91532338308457,221.14761194029848,140.67885572139306
2024-04-14,-1277.857142857143,5705.934159663865,-3133.726075949367,320.2038655462185,42.10582089552241,39.721791044776126,13.31218905472636
2024-04-15,-456.7872340425531,6577.777991631799,-1364.3281092436976,1786.592616033755,516.0366336633665,428.72089108910905,330.7582178217823
2024-04-16,-1353.8315789473684,7948.038734177216,-492.41180672268905,2125.5217721518984,363.96668316831665,372.6903960396039,271.6263366336632
2024-04-17,-1007.2526315789473,7279.606596638655,-2838.3844725738395,1622.3428691983117,346.750197044335,332.81935960591113,280.3372413793103
2024-04-18,-881.1702127659576,7189.402352941177,-3121.7590336134454,1901.1630672268911,276.21490099009907,289.2110396039602,234.27495049504932
2024-04-19,-969.4516129032259,4307.931046025105,-3140.6997890295356,1543.6146218487393,233.63895000000002,236.42140000000018,190.8899
2024-04-20,-1189.8947368421052,2878.938151260504,-3256.51474789916,862.7634745762712,401.05532338308467,304.7576119402984,115.73885572139307
2024-04-22,-1299.787234042553,7046.447991631799,-1364.3281092436976,1286.1226160337546,216.1866336633666,224.0408910891092,279.8782178217822
2024-04-23,-1369.8315789473684,7622.508734177215,-492.41180672268905,1815.131772151898,414.51668316831683,337.17039603960393,281.3363366336632
2024-04-24,-1469.2526315789473,6350.966596638656,-2838.3844725738395,-2299.3771308016885,-1694.189802955665,-1247.6806403940886,-748.5527586206897
2024-04-25,-1213.1702127659576,6047.252352941176,-3121.7590336134454,2100.5430672268913,258.03490099009923,234.67103960396025,180.46495049504938
2024-04-26,-1724.4516129032259,4711.481046025105,-3140.6997890295356,2454.7046218487394,213.85895000000028,220.93139999999994,149.5299000000001
2024-04-27,-910.8947368421052,5897.898151260505,-3256.51474789916,911.3734745762708,212.7853233830847,221.49761194029838,27.81885572139305
2024-04-28,-881.8571428571429,6300.414159663865,-3133.726075949367,55.153865546218526,-45.48417910447762,-16.688208955223843,-10.817810945273635
2024-04-29,88.21276595744689,5641.197991631799,-1364.3281092436976,-2585.7473839662453,-1235.1333663366336,-887.0391089108908,-644.5017821782177
2024-04-30,-1497.8315789473684,-3574.9512658227845,-492.41180672268905,1871.0817721518988,165.41668316831692,171.00039603960386,192.91633663366315
2024-05-01,-1230.2526315789473,-1293.4234033613448,-2838.3844725738395,2265.4028691983112,266.05019704433516,246.06935960591113,258.64724137931023
2024-05-02,-736.1702127659576,-668.9576470588236,-3121.7590336134454,2130.4230672268905,201.63490099009914,193.42103960396025,219.8249504950495
2024-05-03,-686.4516129032259,-905.418953974895,-3140.6997890295356,2176.26462184874,83.86895000000004,125.53139999999985,121.69990000000018
2024-05-04,-96.8947368421052,-1825.3518487394954,-3256.51474789916,790.3334745762709,34.2753233830847,31.277611940298357,54.498855721393056
2024-05-05,-1762.857142857143,-3691.2658403361347,-3133.726075949367,153.27386554621842,-34.72417910447763,-8.328208955223829,-0.6478109452736334
2024-05-06,-1343.787234042553,-1896.642008368201,-1364.3281092436976,2225.3626160337553,264.7766336633663,242.0508910891092,217.02821782178228
2024-05-07,-1149.8315789473684,-1253.2912658227842,-492.41180672268905,2412.7417721518987,433.97668316831687,397.7903960396038,234.83633663366322
2024-05-08,-1333.2526315789473,-1567.263403361345,-2838.3844725738395,-1737.3771308016885,-1289.469802955665,-976.7206403940887,-671.2427586206898
2024-05-09,-1382.1702127659576,-1015.3776470588236,-3121.7590336134454,2384.2230672268906,259.31490099009943,289.6410396039605,242.85495049504948
2024-05-10,-1563.4516129032259,-1213.8089539748953,-3140.6997890295356,2544.694621848739,112.26895000000013,177.52140000000009,178.8999
2024-05-11,-1193.8947368421052,-1445.4918487394955,-3256.51474789916,1136.6434745762713,124.98532338308473,105.21761194029841,76.66885572139307
2024-05-12,153.1428571428571,-1745.8058403361347,-3133.726075949367,379.0338655462184,27.16582089552236,23.691791044776153,3.0121890547263632
2024-05-13,-347.7872340425531,-1282.2320083682007,-1364.3281092436976,2390.6526160337553,203.56663366336625,206.84089108910916,157.6082178217822
2024-05-14,-417.83157894736837,-3010.4812658227847,-492.41180672268905,1961.8117721518984,237.12668316831696,254.25039603960386,185.58633663366322
2024-05-15,-1426.2526315789473,-1218.143403361345,-2838.3844725738395,2149.522869198311,129.90019704433507,147.24935960591142,138.8072413793103
2024-05-16,-673.1702127659576,-1178.1776470588238,-3121.7590336134454,2220.523067226891,95.49490099009927,144.97103960396043,128.49495049504935
2024-05-17,-711.4516129032259,-1000.0989539748953,-3140.6997890295356,1883.10462184874,142.64895000000024,183.54140000000007,151.25990000000013
2024-05-18,-1673.8947368421052,-1348.0018487394955,-3256.51474789916,757.423474576271,104.99532338308472,94.87761194029838,48.948855721393045
2024-05-19,-898.8571428571429,-1578.2258403361348,-3133.726075949367,188.5638655462185,-40.59417910447763,-13.948208955223834,-4.267810945273638
2024-05-20,-1335.787234042553,-1611.6920083682007,-1364.3281092436976,2040.1526160337553,200.3866336633664,183.3008910891092,205.1082178217822
2024-05-21,608.1684210526316,-1637.2212658227845,-492.41180672268905,1863.8617721518985,99.44668316831667,132.70039603960413,147.7563366336633
2024-05-22,-1427.2526315789473,-1683.5234033613442,-2838.3844725738395,1808.6528691983112,26.220197044334782,86.01935960591118,92.26724137931035
2024-05-23,1997.8297872340424,-1206.847647058824,-3121.7590336134454,1315.3930672268907,101.2049009900993,144.3910396039605,121.63495049504945
2024-05-24,-1449.4516129032259,-1390.898953974895,-3140.6997890295356,1820.4546218487394,-121.02104999999983,-27.208599999999933,45.739900000000034
2024-05-25,-981.8947368421052,-1499.4418487394955,-3256.51474789916,675.8634745762711,43.2753233830847,41.80761194029844,34.96885572139308
2024-05-26,-1762.857142857143,-2104.9558403361348,-3133.726075949367,408.96386554621847,-87.97417910447763,-47.40820895522387,-7.957810945273636
2024-05-27,-1241.787234042553,-1645.0720083682008,-1364.3281092436976,2867.632616033755,110.11663366336643,140.33089108910917,144.9882178217823
2024-05-28,-904.8315789473684,-1432.3312658227842,-492.41180672268905,3732.471772151898,101.35668316831698,147.68039603960415,192.83633663366322
2024-05-29,-1470.2526315789473,-1881.6734033613448,-2838.3844725738395,3662.0028691983107,251.6101970443351,259.52935960591117,211.4172413793102
2024-05-30,2276.8297872340427,-1458.227647058824,-3121.7590336134454,-1292.096932773109,-1218.0950990099007,-916.4589603960396,-667.0850495049506
2024-05-31,-150.45161290322585,1516.1510460251052,-3140.6997890295356,2821.0946218487397,39.78895000000011,89.64139999999998,118.83990000000006
2024-06-01,329.1052631578948,-2544.3818487394956,-3256.51474789916,911.7034745762712,-194.82467661691544,-70.93238805970157,-29.081144278606928
2024-06-02,2033.142857142857,-1582.025840336135,-3133.726075949367,480.36386554621856,14.285820895522363,23.501791044776155,-2.1878109452736325
2024-06-03,-835.7872340425531,7375.1679916318,-1364.3281092436976,3535.022616033755,150.01663366336652,150.58089108910917,166.05821782178225
2024-06-04,-677.8315789473684,4017.0287341772155,-492.41180672268905,3723.011772151899,345.23668316831663,294.7403960396041,235.52633663366328
2024-06-05,683.7473684210527,-2939.863403361345,-2838.3844725738395,3605.802869198312,77.54019704433495,118.29935960591115,88.26724137931035
2024-06-06,-425.17021276595756,-1784.0676470588237,-3121.7590336134454,3454.413067226891,-27.575099009900896,60.371039603960526,61.70495049504939
2024-06-07,-1173.4516129032259,-1668.298953974895,-3140.6997890295356,3643.7446218487394,172.16895000000022,226.14139999999998,187.17989999999998
