물동량,부산신항선_버전,변수,계수,p-value,유의,R2(모델전체),Adj_R2(모델전체),AIC,BIC,N
북컨물동량,v2_전차종원시,요일_일,1585.7063,0.006617,True,0.0359,0.0277,22491.93,22547.72,1178
남컨물동량,v1_화물차환산,남해2지선_가락IC-서부산TG_lag0,0.0169,0.466998,False,0.049,0.0394,16881.18,16929.25,904
남컨물동량,v1_화물차환산,중앙선_대동IC-초정IC_lag10,-0.1251,0.000575,True,0.049,0.0394,16881.18,16929.25,904
남컨물동량,v1_화물차환산,부산신항선_진해IC-남문대교_lag0,1.1909,0.008595,True,0.049,0.0394,16881.18,16929.25,904
남컨물동량,v1_화물차환산,요일_화,-1196.2263,0.002045,True,0.049,0.0394,16881.18,16929.25,904
남컨물동량,v1_화물차환산,요일_수,-1096.0169,0.002236,True,0.049,0.0394,16881.18,16929.25,904
남컨물동량,v1_화물차환산,요일_목,-1070.4551,0.004306,True,0.049,0.0394,16881.18,16929.25,904
남컨물동량,v1_화물차환산,요일_금,-1291.3482,0.001298,True,0.049,0.0394,16881.18,16929.25,904
남컨물동량,v1_화물차환산,요일_토,113.8898,0.788071,False,0.049,0.0394,16881.18,16929.25,904
남컨물동량,v1_화물차환산,요일_일,161.9398,0.745699,False,0.049,0.0394,16881.18,16929.25,904
남컨물동량,v2_전차종원시,남해2지선_가락IC-서부산TG_lag0,0.0119,0.613308,False,0.0503,0.0407,16879.97,16928.04,904
남컨물동량,v2_전차종원시,중앙선_대동IC-초정IC_lag10,-0.1221,0.00078,True,0.0503,0.0407,16879.97,16928.04,904
남컨물동량,v2_전차종원시,부산신항선_진해IC-남문대교_lag0,0.2459,0.004422,True,0.0503,0.0407,16879.97,16928.04,904
남컨물동량,v2_전차종원시,요일_화,-1169.927,0.002427,True,0.0503,0.0407,16879.97,16928.04,904
남컨물동량,v2_전차종원시,요일_수,-1090.1322,0.002296,True,0.0503,0.0407,16879.97,16928.04,904
남컨물동량,v2_전차종원시,요일_목,-1055.0022,0.004683,True,0.0503,0.0407,16879.97,16928.04,904
남컨물동량,v2_전차종원시,요일_금,-1266.8535,0.001534,True,0.0503,0.0407,16879.97,16928.04,904
남컨물동량,v2_전차종원시,요일_토,159.6459,0.704875,False,0.0503,0.0407,16879.97,16928.04,904
남컨물동량,v2_전차종원시,요일_일,241.8345,0.628634,False,0.0503,0.0407,16879.97,16928.04,904
