날짜,북컨물동량,남해선(순천-부산)_김해JC-동김해IC_lag0,남해선(순천-부산)_북부산TG-김해JC_lag0,중앙선_대감JC-대동IC_lag0,부산신항선_대청IC-진해IC_lag1
2023-08-23,-1604.8599033816427,4000.4928691983123,3622.6526160337553,1482.2113924050627,158.28490099009923
2023-08-24,1206.1207729468606,2597.033067226891,3056.5161344537823,-286.3858823529408,600.65895
2023-08-25,5627.995121951219,3853.564621848739,3508.3214830508477,1198.138493723849,480.59532338308463
2023-08-26,-2267.5673076923085,1989.173474576271,1792.745254237288,895.6973640167362,277.2258208955224
2023-08-27,2046.8173076923085,666.1038655462186,614.5701260504202,224.1252301255231,699.7966336633663
2023-08-28,223.995073891625,3949.2826160337554,3689.1092405063287,1467.9567364016748,532.626683168317
2023-08-29,2004.1497584541066,3667.9417721518976,3437.701308016878,1195.1202092050207,277.54019704433495
2023-08-30,2044.1400966183573,2808.3828691983117,3104.772616033755,281.1213924050626,455.06490099009943
2023-08-31,-1063.8792270531394,3104.323067226891,3234.036134453782,180.7641176470588,216.47895000000017
2023-09-01,3366.9951219512186,2359.8846218487397,2805.4414830508476,-468.78150627615105,172.5353233830847
2023-09-02,-1722.5673076923085,1188.9734745762712,1356.2152542372883,-4.642635983263517,98.48582089552241
2023-09-03,3328.8173076923085,627.6638655462185,609.9301260504201,158.2652301255232,723.7566336633663
2023-09-04,-1963.004926108375,3608.932616033755,3549.749240506329,1145.3967364016735,543.8666831683167
2023-09-05,2039.1497584541066,3496.461772151898,3431.2113080168783,1069.9402092050204,440.000197044335
2023-09-06,-3472.8599033816427,3437.062869198312,3431.262616033755,784.6713924050637,309.81490099009943
2023-09-07,2772.1207729468606,2977.8530672268917,3259.9861344537817,124.64411764705983,568.6889500000002
2023-09-08,2975.9951219512186,3544.2446218487394,3420.961483050847,886.9884937238494,-6.954676616915322
2023-09-09,-907.5673076923085,1590.4134745762713,1585.0452542372882,299.1873640167364,-71.46417910447764
2023-09-10,-2936.1826923076915,687.1938655462185,650.7101260504202,214.3852301255231,483.5266336633663
2023-09-11,1118.995073891625,3653.092616033755,3510.5692405063287,1252.7167364016732,771.7866831683168
2023-09-12,4324.149758454107,3810.9017721518985,3722.361308016878,1413.0502092050192,795.4301970443348
2023-09-13,4867.140096618357,3743.5328691983113,3657.022616033755,1299.8413924050637,619.0349009900992
2023-09-14,-1021.8792270531394,2928.9230672268914,3581.536134453782,603.9941176470602,401.34895000000006
