statsDt,aviSpotNm,lot,lat,vol
2026-08-09T05:00:00,감전IC(램프진입),128.979685,35.150968,75.0
2026-08-09T05:00:00,감전IC(램프진출),128.98215,35.150824,130.0
2026-08-09T05:00:00,감전IC(본선-낙동IC방면),128.986214,35.150109,973.0
2026-08-09T05:00:00,고신의료원(감천방면),129.013359,35.082097,120.0
2026-08-09T05:00:00,구 개금요금소(본선-주례방면),129.04117,35.161841,1171.0
2026-08-09T05:00:00,구 개금요금소(본선-진양IC방면),129.01701,35.154016,626.0
2026-08-09T05:00:00,구서IC(금정방면),129.095482,35.248905,191.0
2026-08-09T05:00:00,금곡초소,129.018627,35.27122,97.0
2026-08-09T05:00:00,금사램프(진출),129.118045,35.216906,102.0
2026-08-09T05:00:00,금사램프진입(원동방면),129.117741,35.216484,98.0
2026-08-09T05:00:00,낙동IC(본선_주례IC방면),128.973857,35.152096,261.0
2026-08-09T05:00:00,남산역(금정방면),129.092657,35.268323,236.0
2026-08-09T05:00:00,남산역(노포방면),129.092789,35.268321,423.0
2026-08-09T05:00:00,대천램프1,129.165074,35.176666,518.0
2026-08-09T05:00:00,대천램프2,129.165089,35.176662,375.0
2026-08-09T05:00:00,대천램프3,129.165197,35.17661,708.0
2026-08-09T05:00:00,대천램프4,129.165089,35.176662,2.0
2026-08-09T05:00:00,만덕센텀_만덕입구(만덕방면),129.02526,35.213843,189.0
2026-08-09T05:00:00,만덕센텀_만덕입구(센텀방면),129.027449,35.212966,110.0
2026-08-09T05:00:00,망미램프(진입),129.115642,35.184813,214.0
2026-08-09T05:00:00,망미램프(진출),129.115817,35.181194,70.0
2026-08-09T05:00:00,문현IC(램프진입),129.069142,35.13685,181.0
2026-08-09T05:00:00,문현IC(램프진출),129.070347,35.137063,112.0
2026-08-09T05:00:00,문현IC(본선-대연방면),129.067699,35.135848,195.0
2026-08-09T05:00:00,문현IC(본선-부두방면),129.069121,35.136962,233.0
2026-08-09T05:00:00,문현램프(진입),129.066846,35.14143,178.0
2026-08-09T05:00:00,문현램프(진출),129.066649,35.14401,56.0
2026-08-09T05:00:00,번영로진입(원동-구서),129.115176,35.195849,154.0
2026-08-09T05:00:00,번영로진입(원동-문현),129.11517,35.195834,124.0
2026-08-09T05:00:00,번영로진출(구서-원동),129.115353,35.195657,82.0
2026-08-09T05:00:00,번영로진출(문현-원동),129.115346,35.195636,102.0
2026-08-09T05:00:00,범내골램프(진입),129.061517,35.150596,129.0
2026-08-09T05:00:00,범내골램프(진출),129.060004,35.150337,86.0
2026-08-09T05:00:00,석대고가교(구서진입),129.118804,35.2187497,66.0
2026-08-09T05:00:00,석대고가교(반여농산물-구서),129.120232,35.2151742,373.0
2026-08-09T05:00:00,석대고가교(반여농산물-센텀),129.120067,35.2151411,175.0
2026-08-09T05:00:00,석대고가교(석대진입),129.118646,35.2186871,161.0
2026-08-09T05:00:00,선두구동(양산방면),129.102726,35.296473,307.0
2026-08-09T05:00:00,송정(진입),129.205404,35.181549,82.0
2026-08-09T05:00:00,송정(진출),129.205443,35.181589,114.0
2026-08-09T05:00:00,송정터널(송정진입),129.18702,35.177044,552.0
2026-08-09T05:00:00,송정터널(송정진출),129.192743,35.178282,554.0
2026-08-09T05:00:00,송정터널(좌동진입),129.192736,35.178472,325.0
2026-08-09T05:00:00,송정터널(좌동진출),129.186939,35.177107,305.0
2026-08-09T05:00:00,송정해수욕장(진입),129.205423,35.181175,91.0
2026-08-09T05:00:00,송정해수욕장(진출),129.205467,35.181141,55.0
2026-08-09T05:00:00,수영터널(본선-문현방면),129.109837,35.172618,511.0
2026-08-09T05:00:00,수영터널(본선-원동방면),129.109974,35.172567,612.0
2026-08-09T05:00:00,수영환경공단 진입,129.114755,35.1880734,134.0
2026-08-09T05:00:00,양경(진입),129.209903,35.183529,63.0
2026-08-09T05:00:00,양경(진출),129.209967,35.183485,80.0
2026-08-09T05:00:00,오륜터널12(구서IC방면),129.109576,35.241482,241.0
2026-08-09T05:00:00,오륜터널12(회동IC방면),129.1093,35.240931,145.0
2026-08-09T05:00:00,오륜터널34(구서IC방면),129.109923,35.241307,444.0
2026-08-09T05:00:00,오륜터널34(회동IC방면),129.1083,35.240931,145.0
2026-08-09T05:00:00,우암부두(본선-부두방면),129.072071,35.123417,157.0
2026-08-09T05:00:00,우암부두(본선-황령터널방면),129.077972,35.121655,205.0
2026-08-09T05:00:00,주례IC(램프진입),129.027042,35.157891,146.0
2026-08-09T05:00:00,주례IC(램프진출),129.009533,35.152817,95.0
2026-08-09T05:00:00,진양IC(램프진입),129.047406,35.162582,441.0
2026-08-09T05:00:00,진양IC(램프진출),129.044095,35.162405,268.0
2026-08-09T05:00:00,학장IC(램프진입),128.992571,35.149613,91.0
2026-08-09T05:00:00,학장IC(램프진출),128.996149,35.150067,77.0
2026-08-09T05:00:00,황령램프(진입),129.068994,35.15042,589.0
2026-08-09T05:00:00,황령램프(진출),129.069031,35.150254,537.0
2026-08-09T05:00:00,황령터널(대연방면),129.102461,35.142542,614.0
2026-08-09T05:00:00,황령터널(서면방면),129.102563,35.142586,755.0
2026-08-09T05:00:00,회동분기점(구서-정관),129.115108,35.233021,22.0
2026-08-09T05:00:00,회동분기점(구서방면),129.117047,35.2345916,10.0
