물동량,버전,Durbin-Watson,Jarque-Bera_p,Breusch-Pagan_p,AIC,BIC,부산신항선_버전
서컨물동량,A_v1_화물차환산,1.8808277666318804,4.243879406960427e-92,0.48205340109298,6343.125158865409,6370.594949447311,v1_화물차환산
서컨물동량,B_v1_화물차환산,1.8808277666318802,4.243879406959699e-92,0.7455899806953197,6355.125158865409,6406.140484231798,v1_화물차환산
북컨물동량,A_v1_화물차환산,2.3961809487496755,2.5671950300676813e-14,0.11579111293904198,22477.387357556883,22502.74522437794,v1_화물차환산
북컨물동량,B_v1_화물차환산,2.3961809487496755,2.5671950300674172e-14,0.12265732781390506,22489.387357556883,22545.17466456321,v1_화물차환산
남컨물동량,A_v1_화물차환산,2.1786666269153283,5.994695395044216e-13,0.38699980623777896,16869.182975594056,16888.410293035624,v1_화물차환산
남컨물동량,B_v1_화물차환산,2.178666626915317,5.99469539505976e-13,0.4704032160086422,16881.182975594056,16929.25126919798,v1_화물차환산
서컨물동량,A_v2_전차종원시,1.8982438539877893,7.698868616892486e-92,0.578158727432815,6334.924630600451,6362.394421182353,v2_전차종원시
서컨물동량,B_v2_전차종원시,1.898243853987789,7.698868616891607e-92,0.7387143744964183,6346.924630600451,6397.93995596684,v2_전차종원시
북컨물동량,A_v2_전차종원시,2.3920445305459097,1.6303699246148628e-14,0.07186260486079113,22479.93285796322,22505.290724784278,v2_전차종원시
북컨물동량,B_v2_전차종원시,2.3920445305459097,1.630369924614761e-14,0.09959470146464464,22491.93285796322,22547.720164969545,v2_전차종원시
남컨물동량,A_v2_전차종원시,2.1802616927891667,1.5234171055552071e-13,0.2549018124944952,16867.972092642303,16887.19941008387,v2_전차종원시
남컨물동량,B_v2_전차종원시,2.1802616927891667,1.5234171055553695e-13,0.37837530535305447,16879.972092642303,16928.040386246226,v2_전차종원시
